instance,n,m,algo,seed,cost,lb,time,error
pace-exact/exact003.gr,20,73,flip,1,42,,0.025307893753051758,
pace-exact/exact003.gr,20,73,flip,2,42,,0.02724742889404297,
pace-exact/exact003.gr,20,73,certiflip,0,42,42.0,0.34284520149230957,
pace-exact/exact003.gr,20,73,leiden,2,46,,0.8797335624694824,
pace-exact/exact003.gr,20,73,leiden,1,42,,0.9040670394897461,
pace-exact/exact002.gr,20,68,kapoce,0,7,,1.7841105461120605,
pace-exact/exact004.gr,20,75,pivot,0,42,,0.00011372566223144531,
pace-exact/exact004.gr,20,75,pivot,1,58,,6.4849853515625e-05,
pace-exact/exact004.gr,20,75,pivot,2,48,,5.459785461425781e-05,
pace-exact/exact004.gr,20,75,pivot50,0,33,,0.0016179084777832031,
pace-exact/exact004.gr,20,75,pivot50,1,33,,0.002857208251953125,
pace-exact/exact004.gr,20,75,pivot50,2,35,,0.0018398761749267578,
pace-exact/exact004.gr,20,75,vote,0,32,,0.0001327991485595703,
pace-exact/exact004.gr,20,75,vote,1,32,,0.00015473365783691406,
pace-exact/exact004.gr,20,75,vote,2,32,,0.000141143798828125,
pace-exact/exact004.gr,20,75,louvain,0,32,,0.0004839897155761719,
pace-exact/exact004.gr,20,75,louvain,1,32,,0.0005178451538085938,
pace-exact/exact004.gr,20,75,louvain,2,32,,0.0005197525024414062,
pace-exact/exact004.gr,20,75,leiden,0,32,,0.0017957687377929688,
pace-exact/exact004.gr,20,75,leiden,1,32,,0.0016050338745117188,
pace-exact/exact004.gr,20,75,leiden,2,32,,0.0017809867858886719,
pace-exact/exact003.gr,20,73,lb:greedy,0,,31.0,0.03404569625854492,
pace-exact/exact004.gr,20,75,mfp,0,64,,0.0066683292388916016,
pace-exact/exact004.gr,20,75,mfp,1,76,,0.0006020069122314453,
pace-exact/exact004.gr,20,75,mfp,2,74,,0.0006346702575683594,
pace-exact/exact004.gr,20,75,ins,0,32,,0.0062618255615234375,
pace-exact/exact004.gr,20,75,ins,1,32,,0.003461599349975586,
pace-exact/exact004.gr,20,75,ins,2,32,,0.0006537437438964844,
pace-exact/exact004.gr,20,75,flip,1,32,,0.011504650115966797,
pace-exact/exact004.gr,20,75,flip,2,32,,0.007083415985107422,
pace-exact/exact003.gr,20,73,lb:tri-mwu,0,,36.407407407407405,0.08647942543029785,
pace-exact/exact004.gr,20,75,certiflip,0,32,32.0,0.17702293395996094,
pace-exact/exact004.gr,20,75,lb:greedy,0,,26.0,0.00010156631469726562,
pace-exact/exact004.gr,20,75,lb:tri-mwu,0,,31.83745583038869,0.03214383125305176,
pace-exact/exact005.gr,20,97,pivot,0,57,,9.107589721679688e-05,
pace-exact/exact005.gr,20,97,pivot,1,72,,6.771087646484375e-05,
pace-exact/exact005.gr,20,97,pivot,2,57,,3.8623809814453125e-05,
pace-exact/exact005.gr,20,97,pivot50,0,50,,0.0010724067687988281,
pace-exact/exact005.gr,20,97,pivot50,1,50,,0.0010447502136230469,
pace-exact/exact005.gr,20,97,pivot50,2,50,,0.009180307388305664,
pace-exact/exact004.gr,20,75,flip,0,32,,0.89426589012146,
pace-exact/exact005.gr,20,97,vote,1,50,,0.00013685226440429688,
