instance,seed,status,rows,nnz,brute_rows,star_rows,lb_exact,certified,solver_bound
pace-exact/exact084.gr,0,ok,4870,14610,4870,0,2149.602728907019,2150,2149.6027311189255
pace-exact/exact085.gr,0,ok,1644,4932,1644,0,1046.9999993005767,1047,1047.0
pace-exact/exact086.gr,0,ok,6035,18105,6035,0,2808.045078000985,2809,2808.045080639929
pace-exact/exact087.gr,0,ok,6255,18765,6255,0,3060.913851611316,3061,3060.9138535666552
pace-exact/exact088.gr,0,ok,146,613,146,0,198.0,198,198.0
pace-exact/exact089.gr,0,ok,821,2463,821,0,533.9999997280538,534,534.0
pace-exact/exact090.gr,0,ok,46374,139122,46374,0,1905.5360657675192,1906,1905.5360824742274
pace-exact/exact091.gr,0,ok,2554,11966,2553,1,2847.98206634447,2848,2847.9820668748134
pace-exact/exact092.gr,0,ok,6312,18936,6312,0,3026.2423624685034,3027,3026.242365262394
pace-exact/exact093.gr,0,ok,2257,11224,2257,0,3575.5,3576,3575.5
pace-exact/exact094.gr,0,ok,5592,16776,5592,0,2761.502981280908,2762,2761.5029836399253
pace-exact/exact095.gr,0,ok,388,1164,388,0,357.9999998640269,358,358.0
pace-exact/exact096.gr,0,ok,143434,430302,143434,0,3429.958710277453,3430,3429.9587628865975
pace-exact/exact097.gr,0,ok,82,288,82,0,95.0,95,95.0
pace-exact/exact098.gr,0,ok,166,708,166,0,226.0,226,226.0
pace-exact/exact099.gr,0,ok,1168,5469,1167,1,645.8315468281507,646,645.8315473455241
pace-exact/exact100.gr,0,ok,64173,192519,64173,0,2390.9569870205596,2391,2390.95698924731
pace-exact/exact101.gr,0,ok,2455,13088,2455,0,3761.8021840555593,3762,3761.802184465989
pace-exact/exact102.gr,0,ok,2147,11383,2147,0,3592.9999998891726,3593,3592.9999999999627
pace-exact/exact103.gr,0,ok,2402,14015,2401,1,3994.6827455889434,3995,3994.682745825604
pace-exact/exact104.gr,0,ok,148264,444792,148264,0,4203.731904932298,4204,4203.731958762886
pace-exact/exact105.gr,0,ok,190974,572922,190974,0,5084.04116770532,5085,5084.041237113402
pace-exact/exact106.gr,0,ok,7016,21048,7016,0,4005.067278686911,4006,4005.067281589301
pace-exact/exact107.gr,0,ok,478,3046,466,12,273.28571407310665,274,273.28571428571377
pace-exact/exact108.gr,0,ok,1068,4746,1064,4,543.8897007694468,544,543.8897012086973
pace-exact/exact109.gr,0,ok,86286,258858,86286,0,2370.3092468772084,2371,2370.3092783505144
pace-exact/exact110.gr,0,ok,3902,11721,3902,0,2377.9999983618036,2378,2378.0
pace-exact/exact111.gr,0,ok,4233,12699,4233,0,2411.999998186715,2412,2411.9999999999995
pace-exact/exact112.gr,0,ok,1872,5616,1872,0,1834.9999991925433,1835,1835.0
pace-exact/exact113.gr,0,ok,1014,3042,1014,0,998.9999995306134,999,998.9999999999998
pace-exact/exact114.gr,0,ok,124,372,124,0,124.0,124,124.0
pace-exact/exact115.gr,0,ok,396,1191,396,0,302.99999994412065,303,302.9999999999976
pace-exact/exact116.gr,0,ok,787,2374,787,0,631.9999997550622,632,631.9999999999986
pace-exact/exact117.gr,0,ok,79437,238311,79437,0,2625.1339921224862,2626,2625.134020618556
pace-exact/exact118.gr,0,ok,4461,13383,4461,0,2942.9999981103465,2943,2942.9999999999995
pace-exact/exact119.gr,0,ok,184,552,184,0,184.0,184,184.0
pace-exact/exact120.gr,0,ok,266,875,266,0,194.99999991897494,195,195.0
pace-exact/exact121.gr,0,ok,745,2235,745,0,741.9999997233972,742,742.0
pace-exact/exact122.gr,0,ok,811,2464,811,0,408.9090905962512,409,408.9090909090909
pace-exact/exact123.gr,0,ok,430,1290,430,0,415.99999991152436,416,416.0
pace-exact/exact124.gr,0,ok,1024,3090,1024,0,731.4999996209517,732,731.4999999999999
pace-exact/exact125.gr,0,ok,2177,6531,2177,0,1412.999999139458,1413,1413.0
pace-exact/exact126.gr,0,ok,108,462,108,0,149.0,149,149.0
pace-exact/exact127.gr,0,ok,131,393,131,0,129.999999971129,130,130.0
pace-exact/exact128.gr,0,ok,108,324,108,0,108.0,108,108.0
pace-exact/exact129.gr,0,ok,66231,198693,66231,0,2130.958738992922,2131,2130.9587628865975
pace-exact/exact130.gr,0,ok,103,406,103,0,129.0,129,129.0
pace-exact/exact131.gr,0,ok,473,1876,473,0,385.49999998509884,386,385.5
pace-exact/exact132.gr,0,ok,2692,14725,2687,5,4094.3474573204294,4095,4094.3474576271183
pace-exact/exact133.gr,0,ok,251552,754656,251552,0,4754.453514256515,4755,4754.453608247422
pace-exact/exact134.gr,0,ok,773,2319,773,0,772.0,772,772.0
pace-exact/exact135.gr,0,ok,773,2319,773,0,772.0,772,772.0
pace-exact/exact136.gr,0,ok,80,243,80,0,81.0,81,81.0
pace-exact/exact137.gr,0,ok,14,48,14,0,16.0,16,16.0
pace-exact/exact138.gr,0,ok,265597,796791,265597,0,5168.175158700906,5169,5168.175257731957
pace-exact/exact139.gr,0,ok,271971,815913,271971,0,5368.731857307255,5369,5368.7319587628845
pace-exact/exact140.gr,0,ok,463,1693,463,0,450.9999999627471,451,451.0000000000001
pace-exact/exact141.gr,0,ok,1178,5132,1178,0,694.1204201532528,695,694.1204206393991
pace-exact/exact142.gr,0,ok,616,1848,616,0,561.4999998956919,562,561.5
pace-exact/exact143.gr,0,ok,3167,9661,3167,0,1469.3333320273086,1470,1469.3333333333326
pace-exact/exact144.gr,0,ok,2743,8229,2743,0,1499.9999989271164,1500,1500.0
pace-exact/exact145.gr,0,ok,2844,8532,2844,0,1760.9999989066273,1761,1761.0
pace-exact/exact146.gr,0,ok,162702,488106,162702,0,4524.041177716106,4525,4524.041237113401
pace-exact/exact147.gr,0,ok,7124,21372,7124,0,3866.3230288112536,3867,3866.323031807253
pace-exact/exact148.gr,0,ok,296477,889431,296477,0,6702.25762290135,6703,6702.257731958762
pace-exact/exact149.gr,0,ok,293210,879630,293210,0,5750.742159390822,5751,5750.742268041235
pace-exact/exact150.gr,0,ok,170880,512640,170880,0,3223.030865463428,3224,3223.0309278350514
pace-exact/exact151.gr,0,ok,1267,3801,1267,0,1257.9999994151294,1258,1258.0
pace-exact/exact152.gr,0,ok,183,549,183,0,183.0,183,183.0
pace-exact/exact153.gr,0,ok,6,18,6,0,6.0,6,6.0
pace-exact/exact154.gr,0,ok,118,354,118,0,117.0,117,117.0
pace-exact/exact155.gr,0,ok,57,190,57,0,63.0,63,63.0
pace-exact/exact156.gr,0,ok,128,609,128,0,188.0,188,188.0
pace-exact/exact157.gr,0,ok,2399,7361,2397,2,1116.9999989485368,1117,1116.999999999999
pace-exact/exact158.gr,0,ok,127543,382629,127543,0,2979.072117816657,2980,2979.072164948453
pace-exact/exact159.gr,0,ok,2006,6018,2006,0,1482.9999992130324,1483,1482.9999999999995
pace-exact/exact160.gr,0,ok,401,1237,401,0,273.9999999180436,274,274.0
pace-exact/exact161.gr,0,ok,366,1108,366,0,332.99999991618097,333,333.0
pace-exact/exact162.gr,0,ok,1114,3342,1114,0,778.9999996144325,779,779.0000000000005
pace-exact/exact163.gr,0,ok,2384,7152,2384,0,1537.999999104999,1538,1538.0
pace-exact/exact164.gr,0,ok,146704,440112,146704,0,3923.371080491692,3924,3923.371134020619
pace-exact/exact165.gr,0,ok,318117,954351,318117,0,6078.721531658433,6079,6078.721649484534
pace-exact/exact166.gr,0,ok,6359,19077,6359,0,4220.999997207895,4221,4220.999999999999
pace-exact/exact167.gr,0,ok,4087,29149,4080,7,8572.499999863096,8573,8572.499999999985
pace-exact/exact168.gr,0,ok,249846,749538,249846,0,6851.103001766838,6852,6851.103092783502
pace-exact/exact169.gr,0,ok,282472,847416,282472,0,7646.098757206462,7647,7646.0989010989
pace-exact/exact170.gr,0,ok,266867,800601,266867,0,6681.845263236202,6682,6681.845360824744
pace-exact/exact171.gr,0,ok,2930,8790,2930,0,2900.9999985815957,2901,2900.999999999998
pace-exact/exact172.gr,0,ok,387433,1162299,387433,0,6967.257588663138,6968,6967.25773195876
pace-exact/exact173.gr,0,ok,100,303,100,0,100.0,100,100.0
pace-exact/exact174.gr,0,ok,154,462,154,0,153.9999999674037,154,154.0
pace-exact/exact175.gr,0,ok,613,1845,613,0,556.9999998481944,557,557.0
pace-exact/exact176.gr,0,ok,921,2763,921,0,907.9999997261912,908,908.0
pace-exact/exact177.gr,0,ok,150845,452535,150845,0,3998.0618004528806,3999,3998.061855670101
pace-exact/exact178.gr,0,ok,232,790,232,0,199.16666666418314,200,199.16666666666669
pace-exact/exact179.gr,0,ok,937,3604,937,0,631.6116714747623,632,631.6116717971254
pace-exact/exact180.gr,0,ok,2128,7730,2128,0,1067.8006167216226,1068,1067.8006175905948
pace-exact/exact181.gr,0,ok,2281,7700,2281,0,1503.5514177381992,1504,1503.5514184397166
pace-exact/exact182.gr,0,ok,3955,11865,3955,0,1944.9999983152375,1945,1944.999999999999
pace-exact/exact183.gr,0,ok,5527,16581,5527,0,2565.999997560866,2566,2565.9999999999964
pace-exact/exact184.gr,0,ok,7045,21135,7045,0,3370.580103238113,3371,3370.5801062923674
pace-exact/exact185.gr,0,ok,170,617,170,0,203.0,203,203.0
pace-exact/exact186.gr,0,ok,773,2367,773,0,471.99999974574894,472,471.99999999999955
pace-exact/exact187.gr,0,ok,103083,309249,103083,0,3300.628828524612,3301,3300.628865979379
pace-exact/exact188.gr,0,ok,356286,1068858,356286,0,7524.391620660201,7525,7524.391752577314
pace-exact/exact189.gr,0,ok,478392,1435176,478392,0,8453.010132594034,8454,8453.010309278347
pace-exact/exact190.gr,0,ok,566083,1698249,566083,0,12763.690513940528,12764,12763.69072164948
pace-exact/exact191.gr,0,ok,646091,1938273,646091,0,15263.760487514548,15264,15263.76086956523
pace-exact/exact192.gr,0,ok,7384,22155,7384,0,7248.999996775761,7249,7249.0
pace-exact/exact193.gr,0,ok,954740,2864220,954740,0,19406.50492822379,19407,19406.5052631579
pace-exact/exact194.gr,0,ok,530448,1591344,530448,0,8832.803933187388,8833,8832.804123711338
pace-exact/exact195.gr,0,ok,2518,10747,2516,2,2362.9543237239122,2363,2362.954324386762
pace-exact/exact196.gr,0,ok,131170,393510,131170,0,5207.742220756598,5208,5207.742268041238
pace-exact/exact197.gr,0,ok,551830,1655490,551830,0,13848.876087386161,13849,13848.876288659783
pace-exact/exact198.gr,0,ok,2157648,6472944,2157648,0,42742.536064341664,42743,42742.53684210528
pace-exact/exact199.gr,0,ok,1908624,5725872,1908624,0,26965.927157436498,26966,26965.927835051538
pace-exact/exact200.gr,0,ok,1686,5058,1686,0,1390.9999990919605,1391,1390.9999999999998
