graph,seed,ours,kapoce
BitcoinAlpha+,0,11437,11437
BitcoinAlpha+,1,11437,11437
BitcoinAlpha+,2,11437,11437
BitcoinAlpha+,3,11437,11437
BitcoinAlpha+,4,11437,11437
BitcoinAlpha+,5,11437,11437
BitcoinAlpha+,6,11437,11437
BitcoinAlpha+,7,11438,11437
BitcoinAlpha+,8,11437,11437
BitcoinAlpha+,9,11437,11437
BitcoinOTC+,0,16462,16462
BitcoinOTC+,1,16462,16462
BitcoinOTC+,2,16462,16462
BitcoinOTC+,3,16462,16462
BitcoinOTC+,4,16462,16462
BitcoinOTC+,5,16462,16462
BitcoinOTC+,6,16463,16462
BitcoinOTC+,7,16462,16462
BitcoinOTC+,8,16462,16462
BitcoinOTC+,9,16462,16462
ca-AstroPh,0,125542,125567
ca-AstroPh,1,125543,125565
ca-AstroPh,2,125542,125567
ca-AstroPh,3,125543,125570
ca-AstroPh,4,125544,125568
ca-AstroPh,5,125542,125566
ca-AstroPh,6,125549,125566
ca-AstroPh,7,125544,125565
ca-AstroPh,8,125546,-
ca-AstroPh,9,125544,125569
ca-CondMat,0,56834,56839
ca-CondMat,1,56834,56856
ca-CondMat,2,56834,56856
ca-CondMat,3,56834,56856
ca-CondMat,4,56834,56857
ca-CondMat,5,56835,56856
ca-CondMat,6,56834,56856
ca-CondMat,7,56834,56857
ca-CondMat,8,56834,56856
ca-CondMat,9,56835,56856
ca-GrQc,0,6050,6050
ca-GrQc,1,6050,6050
ca-GrQc,2,6050,6050
ca-GrQc,3,6050,6050
ca-GrQc,4,6050,6050
ca-GrQc,5,6050,6050
ca-GrQc,6,6050,6050
ca-GrQc,7,6050,6050
ca-GrQc,8,6050,6050
ca-GrQc,9,6050,6050
ca-HepPh,0,46133,46133
ca-HepPh,1,46133,46133
ca-HepPh,2,46133,46133
ca-HepPh,3,46133,46133
ca-HepPh,4,46133,46133
ca-HepPh,5,46133,46133
ca-HepPh,6,46133,46133
ca-HepPh,7,46133,-
ca-HepPh,8,46133,46133
ca-HepPh,9,46133,46133
ca-HepTh,0,15813,15814
ca-HepTh,1,15813,15814
ca-HepTh,2,15813,15814
ca-HepTh,3,15813,15815
ca-HepTh,4,15813,15813
ca-HepTh,5,15813,15814
ca-HepTh,6,15813,15815
ca-HepTh,7,15813,15814
ca-HepTh,8,15813,15814
ca-HepTh,9,15813,15813
com-Amazon,0,612354,612317
com-Amazon,1,612327,612315
com-Amazon,2,612329,612309
com-Amazon,3,612331,612311
com-Amazon,4,612330,612313
com-Amazon,5,612340,612320
com-Amazon,6,612343,612313
com-Amazon,7,612359,612313
com-Amazon,8,612338,612314
com-Amazon,9,612340,612313
com-DBLP,0,606741,606778
com-DBLP,1,606733,606776
com-DBLP,2,606770,606776
com-DBLP,3,606768,606779
com-DBLP,4,606764,606782
com-DBLP,5,606751,606777
com-DBLP,6,606765,606775
com-DBLP,7,606734,606770
com-DBLP,8,606723,606765
com-DBLP,9,606774,606773
email-Enron,0,150443,-
email-Enron,1,150424,150430
email-Enron,2,150436,150437
email-Enron,3,150438,-
email-Enron,4,150468,150444
email-Enron,5,150434,150437
email-Enron,6,150436,150439
email-Enron,7,150453,150443
email-Enron,8,150440,150435
email-Enron,9,150430,150429
loc-Brightkite,0,174702,-
loc-Brightkite,1,174699,174698
loc-Brightkite,2,174705,174701
loc-Brightkite,3,174703,174699
loc-Brightkite,4,174702,174703
loc-Brightkite,5,174709,174701
loc-Brightkite,6,174701,174703
loc-Brightkite,7,174702,174702
loc-Brightkite,8,174702,174702
loc-Brightkite,9,174701,174701
