instance,n,m,algo,seed,cost,lb,time,error
ca-HepPh,12008.0,118489.0,lb:tri-mwu,0,,39494.27464788732,11.73256254196167,
ca-AstroPh,18772.0,198050.0,pivot,0,206413.0,,0.0010545253753662,
ca-AstroPh,18772.0,198050.0,pivot,1,210529.0,,0.0008511543273925,
ca-AstroPh,18772.0,198050.0,pivot,2,200307.0,,0.0008304119110107,
ca-AstroPh,18772.0,198050.0,pivot50,0,184322.0,,0.1748695373535156,
ca-AstroPh,18772.0,198050.0,pivot50,1,186624.0,,0.1969847679138183,
ca-AstroPh,18772.0,198050.0,pivot50,2,186277.0,,0.1839346885681152,
ca-AstroPh,18772.0,198050.0,vote,0,127442.0,,0.0286273956298828,
ca-AstroPh,18772.0,198050.0,vote,1,126779.0,,0.0216970443725585,
ca-AstroPh,18772.0,198050.0,vote,2,127453.0,,0.0218665599822998,
ca-AstroPh,18772.0,198050.0,louvain,0,127211.0,,0.4512171745300293,
ca-AstroPh,18772.0,198050.0,louvain,1,126633.0,,0.0806922912597656,
ca-AstroPh,18772.0,198050.0,louvain,2,127042.0,,0.1111831665039062,
ca-AstroPh,18772.0,198050.0,leiden,0,127171.0,,18.91718363761902,
ca-AstroPh,18772.0,198050.0,leiden,1,126572.0,,8.920215368270874,
ca-AstroPh,18772.0,198050.0,leiden,2,127544.0,,9.1711266040802,
ca-AstroPh,18772.0,198050.0,mfp,0,230877.0,,1.6344575881958008,
ca-AstroPh,18772.0,198050.0,mfp,1,229913.0,,1.299558162689209,
ca-AstroPh,18772.0,198050.0,mfp,2,231311.0,,1.3666257858276367,
ca-AstroPh,18772.0,198050.0,ins,0,125746.0,,1.6952087879180908,
ca-AstroPh,18772.0,198050.0,ins,1,125746.0,,2.3565897941589355,
ca-AstroPh,18772.0,198050.0,ins,2,125773.0,,1.8219809532165527,
ca-AstroPh,18772.0,198050.0,flip,0,125692.0,,40.19808101654053,
ca-AstroPh,18772.0,198050.0,flip,1,125697.0,,40.69213771820069,
ca-AstroPh,18772.0,198050.0,flip,2,125702.0,,38.30502867698669,
ca-HepPh,12008.0,118489.0,kapoce,0,46133.0,,590.2885489463806,
ca-AstroPh,18772.0,198050.0,lb:greedy,0,,85348.0,1.4589180946350098,
ca-AstroPh,18772.0,198050.0,lb:tri-mwu,0,,86008.54929577465,24.24729061126709,
ca-CondMat,23133.0,93439.0,pivot,0,87963.0,,0.0011510848999023,
ca-CondMat,23133.0,93439.0,pivot,1,89036.0,,0.0027687549591064,
ca-CondMat,23133.0,93439.0,pivot,2,87152.0,,0.0009670257568359,
