instance,n,m,algo,seed,cost,lb,time,error
pace-exact/exact003.gr,20,73,flip,0,42.0,,0.0298161506652832,
pace-exact/exact003.gr,20,73,flip,1,42.0,,0.0253078937530517,
pace-exact/exact003.gr,20,73,flip,2,42.0,,0.0272474288940429,
pace-exact/exact003.gr,20,73,leiden,2,46.0,,0.8797335624694824,
pace-exact/exact003.gr,20,73,leiden,1,42.0,,0.904067039489746,
pace-exact/exact002.gr,20,68,kapoce,0,7.0,,1.7841105461120603,
pace-exact/exact004.gr,20,75,pivot,0,42.0,,0.0001137256622314,
pace-exact/exact004.gr,20,75,pivot,1,58.0,,6.4849853515625e-05,
pace-exact/exact004.gr,20,75,pivot,2,48.0,,5.459785461425781e-05,
pace-exact/exact004.gr,20,75,pivot50,0,33.0,,0.0016179084777832,
pace-exact/exact004.gr,20,75,pivot50,1,33.0,,0.0028572082519531,
pace-exact/exact004.gr,20,75,pivot50,2,35.0,,0.0018398761749267,
pace-exact/exact004.gr,20,75,vote,0,32.0,,0.0001327991485595,
pace-exact/exact004.gr,20,75,vote,1,32.0,,0.0001547336578369,
pace-exact/exact004.gr,20,75,vote,2,32.0,,0.0001411437988281,
pace-exact/exact004.gr,20,75,louvain,0,32.0,,0.0004839897155761,
pace-exact/exact004.gr,20,75,louvain,1,32.0,,0.0005178451538085,
pace-exact/exact004.gr,20,75,louvain,2,32.0,,0.0005197525024414,
pace-exact/exact004.gr,20,75,leiden,0,32.0,,0.0017957687377929,
pace-exact/exact004.gr,20,75,leiden,1,32.0,,0.0016050338745117,
pace-exact/exact004.gr,20,75,leiden,2,32.0,,0.0017809867858886,
pace-exact/exact003.gr,20,73,lb:greedy,0,,31.0,0.0340456962585449,
pace-exact/exact004.gr,20,75,mfp,0,64.0,,0.0066683292388916,
pace-exact/exact004.gr,20,75,mfp,1,76.0,,0.0006020069122314,
pace-exact/exact004.gr,20,75,mfp,2,74.0,,0.0006346702575683,
pace-exact/exact004.gr,20,75,ins,0,32.0,,0.0062618255615234,
pace-exact/exact004.gr,20,75,ins,1,32.0,,0.0034615993499755,
pace-exact/exact004.gr,20,75,ins,2,32.0,,0.0006537437438964,
pace-exact/exact004.gr,20,75,flip,1,32.0,,0.0115046501159667,
pace-exact/exact004.gr,20,75,flip,2,32.0,,0.0070834159851074,
pace-exact/exact003.gr,20,73,lb:tri-mwu,0,,36.407407407407405,0.0864794254302978,
pace-exact/exact004.gr,20,75,lb:greedy,0,,26.0,0.0001015663146972,
pace-exact/exact004.gr,20,75,lb:tri-mwu,0,,31.83745583038869,0.0321438312530517,
pace-exact/exact005.gr,20,97,pivot,0,57.0,,9.107589721679688e-05,
pace-exact/exact005.gr,20,97,pivot,1,72.0,,6.771087646484375e-05,
pace-exact/exact005.gr,20,97,pivot,2,57.0,,3.8623809814453125e-05,
pace-exact/exact005.gr,20,97,pivot50,0,50.0,,0.0010724067687988,
pace-exact/exact005.gr,20,97,pivot50,1,50.0,,0.001044750213623,
pace-exact/exact005.gr,20,97,pivot50,2,50.0,,0.0091803073883056,
pace-exact/exact004.gr,20,75,flip,0,32.0,,0.89426589012146,
pace-exact/exact005.gr,20,97,vote,1,50.0,,0.0001368522644042,
pace-exact/exact005.gr,20,97,vote,2,46.0,,8.130073547363281e-05,
pace-exact/exact005.gr,20,97,louvain,0,48.0,,0.0003652572631835,
pace-exact/exact005.gr,20,97,louvain,1,48.0,,0.0003252029418945,
pace-exact/exact005.gr,20,97,louvain,2,46.0,,0.0003154277801513,
pace-exact/exact005.gr,20,97,vote,0,48.0,,0.6658046245574951,
pace-exact/exact005.gr,20,97,leiden,0,46.0,,0.8499059677124023,
pace-exact/exact005.gr,20,97,leiden,2,46.0,,0.0010805130004882,
pace-exact/exact005.gr,20,97,mfp,0,101.0,,0.0390706062316894,
pace-exact/exact005.gr,20,97,mfp,1,86.0,,0.0006899833679199,
pace-exact/exact005.gr,20,97,mfp,2,86.0,,0.0006599426269531,
pace-exact/exact005.gr,20,97,leiden,1,46.0,,0.8190674781799316,
pace-exact/exact005.gr,20,97,ins,0,46.0,,0.0007030963897705,
pace-exact/exact005.gr,20,97,ins,2,46.0,,0.0006968975067138,
pace-exact/exact005.gr,20,97,flip,0,46.0,,0.0123708248138427,
pace-exact/exact005.gr,20,97,flip,1,46.0,,0.0126769542694091,
pace-exact/exact005.gr,20,97,ins,1,46.0,,0.0306377410888671,
pace-exact/exact005.gr,20,97,flip,2,46.0,,0.0128319263458251,
pace-exact/exact005.gr,20,97,lb:greedy,0,,32.0,0.0078136920928955,
pace-exact/exact005.gr,20,97,lb:tri-mwu,0,,43.232394366197184,0.0238099098205566,
pace-exact/exact006.gr,20,113,pivot,0,9.0,,0.0001022815704345,
